eventid,deploylen,taggingdate,deplon,deplat,recdate,reclon,reclat,reclen,reclen_type
100302800,91.0,2003-07-24,-116.48,29.35,,,,,
100302900,94.0,2003-07-24,-116.48,29.35,2004-06-12,-113.62,25.73,118.00,SFL
100303000,95.0,2003-07-24,-116.48,29.35,2004-06-17,-114.97,27.15,107.00,SFL
100303100,93.5,2003-07-24,-116.48,29.35,2004-07-13,-117.37,29.55,113.70,SFL
100303200,92.0,2003-07-24,-116.48,29.35,2004-07-09,-116.96,29.95,110.00,SFL
100303300,90.0,2003-07-24,-116.48,29.35,2005-06-30,134.1,34.45,,
100303400,95.0,2003-07-24,-116.48,29.35,2004-06-13,-113.7,25.81,,
100303500,90.5,2003-07-24,-116.48,29.35,,,,,
100303600,92.0,2003-07-24,-116.48,29.35,2004-07-13,-117.37,29.55,110.00,SFL
100303700,99.0,2003-07-24,-116.48,29.35,2004-06-15,-113.97,26.08,110.00,SFL
100303800,96.0,2003-07-24,-116.48,29.35,2004-07-15,-116.86,29.46,121.00,SFL
100303900,93.0,2003-07-24,-116.48,29.35,2004-05-31,-114.03,25.7,,
100304000,92.5,2003-07-25,-116.58,29.26,2005-06-02,-113.98,25.4,137.00,SFL
100304100,93.5,2003-07-25,-116.58,29.26,,,,,
100304200,95.0,2003-07-25,-116.58,29.26,2004-06-15,-114.03,26.13,110.00,SFL
100304300,95.5,2003-07-25,-116.58,29.26,2005-08-04,-118.28,31.36,138.00,SFL
100304400,96.0,2003-07-25,-116.58,29.26,2004-08-06,-117.5,30.76,,
100304500,94.0,2003-07-25,-116.58,29.26,,,,,
100304600,97.0,2003-07-25,-116.58,29.26,,,,,
100304700,97.0,2003-07-25,-116.62,29.24,2003-10-18,-122,35.02,99.00,SFL
100304800,96.0,2003-07-25,-116.63,29.24,2004-07-05,-117.33,29.95,123.00,SFL
100305000,93.0,2003-07-25,-116.58,29.26,2004-06-16,-113.91,26.33,,
100305100,93.0,2003-07-25,-116.63,29.24,2004-07-09,-116.96,29.95,,
100305200,94.0,2003-07-25,-116.63,29.24,2004-06-15,-113.97,26.08,106.00,SFL
100305300,92.0,2003-07-25,-116.63,29.24,2004-07-13,-117.37,29.55,,
100305400,97.0,2003-07-25,-116.68,29.21,,,,,
100305500,93.0,2003-07-25,-116.68,29.21,,,,,
100305600,94.0,2003-07-25,-116.68,29.21,,,,,
100305700,94.0,2003-07-25,-116.68,29.21,2004-07-07,-116.85,29.51,124.00,SFL
100305800,98.0,2003-07-25,-116.7,29.2,2004-06-16,-113.3,25.5,,
100305900,97.0,2003-07-25,-116.68,29.21,2004-06-15,-113.97,26.08,,
100306000,93.0,2003-07-25,-116.7,29.2,2004-06-18,-115.03,26.98,113.00,SFL
100306100,91.0,2003-07-25,-116.7,29.2,2004-06-15,-113.98,25.97,,
100306200,98.0,2003-07-25,-116.7,29.2,2005-07-24,-118.01,30.45,70.00,SFL
100306300,94.0,2003-07-25,-116.73,29.17,2004-06-16,-113.92,26.33,113.00,SFL
100306400,94.0,2003-07-25,-116.75,29.16,2004-06-18,-114.78,27.15,,
100306500,96.0,2003-07-25,-116.64,29.22,2007-05-01,,,,
100306600,116.0,2003-07-25,-116.64,29.22,2004-06-09,138.25,37.8,131.00,SFL
100306700,97.0,2003-07-26,-115.97,28.96,2004-07-26,-117.2,31.4,108.00,SFL
100306800,93.0,2003-07-26,-115.97,28.96,2004-07-14,-117.13,29.57,110.00,SFL
100306900,95.0,2003-07-26,-115.97,28.96,2004-06-15,-113.3,25.45,,
100307000,95.5,2003-07-26,-115.97,28.96,2004-06-30,-117.16,29.83,110.00,SFL
100307100,99.0,2003-07-26,-115.97,28.96,2004-07-03,-116.77,29.43,83.00,SFL
100307200,96.0,2003-07-26,-115.97,28.96,2004-06-12,-113.62,25.73,,
100307300,125.0,2003-07-26,-115.97,28.96,2004-07-17,-117.23,29.07,70.00,SFL
100307400,96.0,2003-07-27,-116.64,29.27,,,,,
100307500,92.0,2003-07-27,-116.64,29.27,2004-07-17,-116.83,29.4,106.00,SFL
100307600,,2003-07-27,-116.66,29.26,,,,,
100307700,96.5,2003-07-27,-116.66,29.26,2004-06-12,-113.61,25.76,175.00,SFL
100307800,99.0,2003-07-27,-116.66,29.26,,,,,
100307900,97.5,2003-07-27,-116.67,29.25,,,,,
100308000,100.5,2003-07-27,-116.67,29.25,2004-08-05,-117.55,30.7,,
100308100,97.0,2003-07-27,-116.67,29.25,2004-06-15,-113.98,25.47,105.50,SFL
100308200,93.0,2003-07-27,-116.74,29.4,2004-06-15,-113.85,25.93,,
100308300,98.0,2003-07-27,-116.74,29.4,,,,,
100308400,89.0,2003-07-28,-116.56,29.43,2004-06-12,-113.62,25.73,120.00,SFL
100308500,89.0,2003-07-28,-116.56,29.43,2004-07-07,-116.86,29.51,123.00,SFL
100308600,94.0,2003-07-28,-116.56,29.43,2005-06-02,-118.1,30.66,136,SFL
100308700,96.0,2003-07-28,-116.56,29.43,2004-07-17,-116.83,29.4,108.00,SFL
100308800,92.0,2003-07-28,-116.56,29.43,2007-07-19,140.35,41.4,98.00,pre 2nd dorsal
100308900,92.0,2003-07-28,-116.56,29.43,2004-07-15,-117.33,29.73,121.00,SFL
100309000,93.0,2003-07-28,-116.56,29.43,2004-06-15,-113.78,25.93,,
100309100,93.0,2003-07-28,-116.56,29.43,2004-07-17,-116.83,29.4,108.00,SFL
